name,serving_size,calories,total_fat,cholesterol,sodium,protein,carbohydrate,fiber,sugars
"Luncheon meat, 25% less sodium, includes SPAM, added ascorbic acid, reduced sodium, canned, minced, and chicken, ham, pork",100 g,293,25g,76mg,1036.00 mg,12.50 g,3.40 g,0.0 g,0.00 g
"Lamb, broiled, cooked, trimmed to 1/8"" fat, separable lean only, boneless, sirloin chops, leg, fresh, imported, Australian",100 g,188,7.8g,85mg,66.00 mg,27.63 g,0.00 g,0,0
"Beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean and fat, medallion, shoulder tender, shoulder clod, chuck",100 g,181,7.7g,76mg,60.00 mg,26.07 g,0.00 g,0.0 g,0.00 g
"Lamb, roasted, cooked, trimmed to 1/8"" fat, separable lean and fat, bone-in, trotter off, leg, fresh, imported, Australian",100 g,226,12g,113mg,77.00 mg,30.15 g,0.08 g,0.0 g,0.00 g
"Lamb, cooked, trimmed to 1/8"" fat, separable lean and fat, composite of trimmed retail cuts, frozen, imported, New Zealand",100 g,270,18g,106mg,46.00 mg,25.26 g,0.00 g,0.0 g,0
"Beef, roasted, cooked, select, trimmed to 0"" fat, separable lean and fat, America's Beef Roast, boneless, chuck eye roast",100 g,229,14g,81mg,76.00 mg,24.86 g,0.00 g,0.0 g,0.00 g
"Beef, roasted, cooked, choice, trimmed to 0"" fat, separable lean and fat, America's Beef Roast, boneless, chuck eye roast",100 g,241,16g,84mg,75.00 mg,24.47 g,0.00 g,0.0 g,0.00 g
"Cereals, without salt, cooked with water, quick (1-3 minutes), assorted brands including CREAM OF WHEAT, enriched, farina",100 g,55,0.3g,0,18.00 mg,1.82 g,10.92 g,0.8 g,0.76 g
"Lamb, roasted, cooked, trimmed to 1/8"" fat, separable lean only, boneless, sirloin half, leg, fresh, imported, Australian",100 g,215,11g,105mg,83.00 mg,27.75 g,0.00 g,0,0
"Cereals, with salt, cooked with water (includes boiling and microwaving), unenriched, regular and quick and instant, oats",100 g,71,1.5g,0,71.00 mg,2.54 g,12.00 g,1.7 g,0.27 g
"Beef, raw, Aust. marble score 4/5, separable lean only, boneless, top loin steak/roast, loin, Wagyu, imported, Australian",100 g,223,16g,58mg,61.00 mg,20.15 g,0.20 g,0.0 g,0.00 g
"Beef, raw, Aust. marble score 9, separable lean only, boneless, tenderloin steak/roast, loin, Wagyu, imported, Australian",100 g,237,18g,74mg,62.00 mg,18.87 g,0.57 g,0.0 g,0.00 g
"Lamb, grilled, cooked, trimmed to 1/8"" fat, separable lean only, bone-in, frenched, rib chop, fresh, imported, Australian",100 g,234,12g,92mg,85.00 mg,32.16 g,0.00 g,0.0 g,0.00 g
"Lamb, broiled, cooked, trimmed to 1/8"" fat, separable lean only, bone-in, center slice, leg, fresh, imported, Australian",100 g,183,7.7g,85mg,66.00 mg,26.75 g,0.00 g,0,0
"Lamb, cooked, trimmed to 1/8"" fat, separable lean and fat, composite of trimmed retail cuts, fresh, imported, Australian",100 g,256,17g,87mg,76.00 mg,24.52 g,0.00 g,0,0
"Lamb, raw, trimmed to 1/8"" fat, separable lean only, bone-in, frenched, rib chop/rack roast, fresh, imported, Australian",100 g,147,5.6g,66mg,71.00 mg,24.07 g,0.00 g,0.0 g,0.00 g
"Lamb, roasted, cooked, trimmed to 1/8"" fat, separable lean only, bone-in, trotter off, leg, fresh, imported, Australian",100 g,215,9.6g,117mg,80.00 mg,32.08 g,0.00 g,0.0 g,0.00 g
"Beverages, without added sodium or vitamin A, aspartame, phosphorus, with added calcium, powder, low calorie, Cocoa mix",100 g,359,3g,11mg,653.00 mg,25.10 g,58.00 g,1.1 g,55.58 g
"Beef, grilled, cooked, all grades, trimmed to 0"" fat, separable lean and fat, steak, bottom round, outside round, round",100 g,182,7.1g,77mg,58.00 mg,27.52 g,0.00 g,0.0 g,0.00 g
"Beef, raw, Aust. marble score 9, separable lean only, boneless, top loin steak/roast, loin, Wagyu, imported, Australian",100 g,331,29g,61mg,68.00 mg,16.92 g,0.13 g,0.0 g,0.00 g
"Beef, raw, all grades, trimmed to 0"" fat, separable lean and fat, Denver Cut, boneless, under blade center steak, chuck",100 g,182,12g,69mg,76.00 mg,18.99 g,0.36 g,0.0 g,0.00 g
"Lamb, cooked, trimmed to 1/8"" fat, separable lean and fat, whole (arm and blade), shoulder, fresh, imported, Australian",100 g,296,22g,89mg,85.00 mg,23.58 g,0.00 g,0,0
"Lamb, raw, trimmed to 1/8"" fat, separable lean and fat, composite of trimmed retail cuts, frozen, imported, New Zealand",100 g,232,17g,77mg,41.00 mg,17.95 g,0.00 g,0.0 g,0
"Beef, roasted, cooked, choice, trimmed to 0"" fat, separable lean only, America's Beef Roast, boneless, chuck eye roast",100 g,190,9.4g,84mg,79.00 mg,26.41 g,0.00 g,0.0 g,0.00 g
"Beef, roasted, cooked, select, trimmed to 0"" fat, separable lean only, America's Beef Roast, boneless, chuck eye roast",100 g,172,7.1g,81mg,81.00 mg,27.02 g,0.00 g,0.0 g,0.00 g
"Margarine-like shortening, principal use flaky pastries, and soy, cottonseed, soy (partially hydrogenated), industrial",100 g,628,71g,0,864.00 mg,0.00 g,0.00 g,0.0 g,0.00 g
"Beef, broiled, cooked, all grades, trimmed to 0"" fat, separable lean and fat, tri-tip steak, bottom sirloin butt, loin",100 g,265,15g,68mg,72.00 mg,29.97 g,0.00 g,0.0 g,0.00 g
"Beverages, vitamin A and vitamin D,  added calcium, Ready-to-drink, flavored and sweetened, reduced fat, milk beverage",100 g,77,1.8g,8mg,49.00 mg,3.05 g,12.08 g,0.4 g,11.40 g
"Lamb, raw, trimmed to 1/8"" fat, separable lean and fat, whole (arm and blade), shoulder, frozen, imported, New Zealand",100 g,251,20g,74mg,42.00 mg,17.19 g,0.00 g,0.0 g,0
"Fast foods, tomato and sweet onion sauce, sweet onion chicken teriyaki on white bread with lettuce, submarine sandwich",100 g,155,2.4g,22mg,305.00 mg,10.91 g,22.54 g,1.2 g,6.06 g
"Lamb, roasted, cooked, trimmed to 1/8"" fat, separable lean and fat, boneless, bottom, leg, fresh, imported, Australian",100 g,219,12g,106mg,69.00 mg,27.54 g,0.00 g,0.0 g,0.00 g
"Beef, raw, all grades, trimmed to 0"" fat, separable lean and fat, shoulder top and center steaks, shoulder clod, chuck",100 g,141,5.9g,57mg,60.00 mg,20.67 g,0.00 g,0.0 g,0.00 g
"Lamb, braised, cooked, trimmed to 1/4"" fat, separable lean only, cubed for stew or kabob (leg and shoulder), domestic",100 g,223,8.8g,108mg,70.00 mg,33.69 g,0.00 g,0.0 g,0.00 g
"Lamb, broiled, cooked, trimmed to 1/4"" fat, separable lean only, cubed for stew or kabob (leg and shoulder), domestic",100 g,186,7.3g,90mg,76.00 mg,28.08 g,0.00 g,0.0 g,0
"Beef, grilled, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, boneless, top sirloin cap steak, loin",100 g,242,15g,84mg,89.00 mg,26.00 g,0.80 g,0.0 g,0.00 g
"Lamb, roasted, cooked, choice, trimmed to 1/4"" fat, separable lean and fat, whole (arm and blade), shoulder, domestic",100 g,276,20g,92mg,66.00 mg,22.51 g,0.00 g,0.0 g,0.00 g
"Lamb, broiled, cooked, choice, trimmed to 1/4"" fat, separable lean and fat, whole (arm and blade), shoulder, domestic",100 g,278,19g,97mg,78.00 mg,24.42 g,0.00 g,0.0 g,0
"Lamb, braised, cooked, choice, trimmed to 1/4"" fat, separable lean and fat, whole (arm and blade), shoulder, domestic",100 g,344,25g,116mg,75.00 mg,28.68 g,0.00 g,0.0 g,0
"Lamb, braised, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, whole (arm and blade), shoulder, domestic",100 g,338,24g,117mg,74.00 mg,29.46 g,0.00 g,0.0 g,0
"Lamb, broiled, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, whole (arm and blade), shoulder, domestic",100 g,268,18g,95mg,82.00 mg,23.84 g,0.00 g,0.0 g,0
"Lamb, roasted, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, whole (arm and blade), shoulder, domestic",100 g,269,19g,91mg,66.00 mg,22.70 g,0.00 g,0.0 g,0
"Beverages, fortified with vitamins B6 and B12, sugar-free with guarana, energy drink, NOS Zero, THE COCA-COLA COMPANY",100 g,4,0g,0,85.00 mg,0.00 g,1.03 g,0.0 g,0.00 g
"Beef, grilled, cooked, all grades, trimmed to 0"" fat, separable lean and fat, lip off, boneless, top loin steak, loin",100 g,223,11g,81mg,59.00 mg,28.57 g,0.00 g,0.0 g,0.00 g
"Lamb, raw, trimmed to 1/8"" fat, separable lean and fat, composite of trimmed retail cuts, fresh, imported, Australian",100 g,229,17g,66mg,74.00 mg,17.84 g,0.00 g,0,0
"Lamb, cooked, trimmed to 1/8"" fat, separable lean only, composite of trimmed retail cuts, fresh, imported, Australian",100 g,201,9.6g,87mg,80.00 mg,26.71 g,0.00 g,0,0
"Lamb, roasted, cooked, trimmed to 1/8"" fat, separable lean and fat, boneless, tenderloin, fresh, imported, Australian",100 g,187,7g,110mg,61.00 mg,30.87 g,0.00 g,0.0 g,0.00 g
"Lamb, raw, trimmed to 1/8"" fat, separable lean and fat, bone-in, heel on, hindshank, leg, fresh, imported, Australian",100 g,196,13g,59mg,87.00 mg,20.58 g,0.00 g,0.0 g,0.00 g
"Lamb, raw, trimmed to 1/8"" fat, separable lean and fat, whole (shank and sirloin), leg, frozen, imported, New Zealand",100 g,201,13g,75mg,41.00 mg,18.76 g,0.00 g,0.0 g,0
"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean and fat, boneless, under blade pot roast, chuck",100 g,291,20g,99mg,62.00 mg,26.70 g,0.00 g,0.0 g,0.00 g
"Lamb, roasted, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, whole (shank and sirloin), leg, domestic",100 g,242,14g,92mg,67.00 mg,26.20 g,0.00 g,0.0 g,0
"Lamb, cooked, trimmed to 1/8"" fat, separable lean only, whole (arm and blade), shoulder, fresh, imported, Australian",100 g,233,13g,91mg,91.00 mg,26.18 g,0.00 g,0,0
"Beef, raw, all grades, trimmed to 0"" fat, separable lean only, Denver Cut, boneless, under blade center steak, chuck",100 g,170,10g,69mg,77.00 mg,19.42 g,0.49 g,0.0 g,0.00 g
"Beef, grilled, cooked, all grades, trimmed to 0"" fat, separable lean and fat, steak, top blade, shoulder clod, chuck",100 g,222,13g,83mg,77.00 mg,24.93 g,0.00 g,0.0 g,0.00 g
"Lamb, roasted, cooked, choice, trimmed to 1/4"" fat, separable lean and fat, whole (shank and sirloin), leg, domestic",100 g,258,16g,93mg,66.00 mg,25.55 g,0.00 g,0.0 g,0.00 g
"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean and fat, boneless, chuck eye Country-Style ribs",100 g,296,21g,96mg,65.00 mg,27.69 g,0.00 g,0.0 g,0.00 g
"Lamb, raw, trimmed to 1/8"" fat, separable lean and fat, whole (arm and blade), shoulder, fresh, imported, Australian",100 g,256,20g,66mg,76.00 mg,16.68 g,0.00 g,0,0
"Beef, raw, select, trimmed to 0"" fat, separable lean and fat, Denver Cut, boneless, under blade center steak, chuck",100 g,172,11g,68mg,76.00 mg,19.20 g,0.09 g,0.0 g,0.00 g
"Lamb, raw, trimmed to 1/8"" fat, separable lean and fat, whole (shank and sirloin), leg, fresh, imported, Australian",100 g,215,15g,66mg,73.00 mg,18.24 g,0.00 g,0,0
"Lamb, raw,   trimmed to 1/8"" fat, separable lean only, whole (arm and blade), shoulder, fresh, imported, Australian",100 g,155,8g,64mg,88.00 mg,19.36 g,0.00 g,0,0
"Beef, grilled, cooked, all grades, trimmed to 1/8"" fat, separable lean only, lip-on, boneless, top loin steak, loin",100 g,198,9.1g,80mg,54.00 mg,29.06 g,0.00 g,0.0 g,0.00 g
"Beef, roasted, cooked, all grades, trimmed to 0"" fat, separable lean only, boneless, top sirloin petite roast, loin",100 g,170,5.9g,86mg,57.00 mg,29.12 g,0.00 g,0.0 g,0.00 g
"Beef, raw, separable lean and fat, boneless, top sirloin cap-off steak/roast, loin, grass-fed, imported, Australian",100 g,127,4.5g,55mg,59.00 mg,21.77 g,0.01 g,0.0 g,0.00 g
"Beef, raw, choice, trimmed to 0"" fat, separable lean and fat, Denver Cut, boneless, under blade center steak, chuck",100 g,189,12g,70mg,75.00 mg,18.85 g,0.53 g,0.0 g,0.00 g
"Lamb, roasted, cooked, trimmed to 1/8"" fat, separable lean only, boneless, bottom, leg, fresh, imported, Australian",100 g,190,8.4g,107mg,70.00 mg,28.60 g,0.00 g,0.0 g,0.00 g
"Beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean and fat, steak, bottom round, outside round, round",100 g,191,8.3g,78mg,57.00 mg,27.22 g,0.00 g,0.0 g,0.00 g
"Beef, roasted, cooked, all grades, trimmed to 0"" fat, separable lean only, tri-tip roast, bottom sirloin butt, loin",100 g,182,8.3g,78mg,55.00 mg,26.75 g,0.00 g,0.0 g,0.00 g
"Lamb, roasted, cooked, trimmed to 1/8"" fat, separable lean only, boneless, tenderloin, fresh, imported, Australian",100 g,184,6.7g,111mg,61.00 mg,30.97 g,0.00 g,0.0 g,0.00 g
"Lamb, raw, trimmed to 1/8"" fat, separable lean only, bone-in, heel on, hindshank, leg, fresh, imported, Australian",100 g,122,3.5g,54mg,93.00 mg,22.49 g,0.00 g,0.0 g,0.00 g
"Lamb, roasted, cooked, choice, trimmed to 1/4"" fat, separable lean only, whole (arm and blade), shoulder, domestic",100 g,204,11g,87mg,68.00 mg,24.94 g,0.00 g,0.0 g,0.00 g
"Lamb, braised, cooked, choice, trimmed to 1/4"" fat, separable lean only, whole (arm and blade), shoulder, domestic",100 g,283,16g,117mg,79.00 mg,32.81 g,0.00 g,0.0 g,0
"Lamb, broiled, cooked, choice, trimmed to 1/4"" fat, separable lean only, whole (arm and blade), shoulder, domestic",100 g,210,11g,93mg,83.00 mg,27.12 g,0.00 g,0.0 g,0.00 g
"Fruit cocktail, solids and liquids, extra light syrup, canned, (peach and pineapple and pear and grape and cherry)",100 g,45,0.1g,0,4.00 mg,0.40 g,11.63 g,1.1 g,0
"Beef, grilled, cooked, select, trimmed to 1/8"" fat, separable lean and fat, lip-on, boneless, top loin steak, loin",100 g,247,15g,81mg,50.00 mg,26.92 g,0.00 g,0.0 g,0.00 g
"Beef, raw, separable lean and fat, boneless, top round cap-off steak/roast, round, grass-fed, imported, Australian",100 g,129,4.4g,47mg,59.00 mg,22.24 g,0.00 g,0.0 g,0.00 g
"Fruit cocktail, solids and liquids, extra heavy syrup, canned, (peach and pineapple and pear and grape and cherry)",100 g,88,0.1g,0,6.00 mg,0.39 g,22.89 g,1.1 g,0
"Beef, grilled, cooked, all grades, trimmed to 0"" fat, separable lean only, lip off, boneless, top loin steak, loin",100 g,202,8.4g,91mg,61.00 mg,29.53 g,0.00 g,0.0 g,0.00 g
"Lamb, raw, trimmed to 1/8"" fat, separable lean only, composite of trimmed retail cuts, fresh, imported, Australian",100 g,142,6.2g,64mg,83.00 mg,20.25 g,0.00 g,0,0
"Pork, braised, cooked, with added solution, separable lean and fat, blade (steaks), (Boston butt), shoulder, fresh",100 g,263,17g,97mg,151.00 mg,25.84 g,0.03 g,0.0 g,0.00 g
"Beef, raw, choice, trimmed to 0"" fat, separable lean and fat, shoulder top and center steaks, shoulder clod, chuck",100 g,143,6.1g,57mg,61.00 mg,20.39 g,0.00 g,0.0 g,0.00 g
"Beef, raw, select, trimmed to 0"" fat, separable lean and fat, shoulder top and center steaks, shoulder clod, chuck",100 g,140,5.5g,58mg,58.00 mg,21.13 g,0.00 g,0.0 g,0.00 g
"Beef, grilled, cooked, all grades, trimmed to 0"" fat, separable lean and fat, outside skirt, boneless, plate steak",100 g,292,20g,102mg,70.00 mg,27.06 g,0.00 g,0.0 g,0.00 g
"Beef, grilled, cooked, all grades, trimmed to 1/8"" fat, separable lean only, boneless, top sirloin cap steak, loin",100 g,181,7.2g,84mg,62.00 mg,28.26 g,0.73 g,0.0 g,0.00 g
"Beef, grilled, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, lip-on, boneless, top loin steak, loin",100 g,275,19g,81mg,54.00 mg,25.69 g,0.00 g,0.0 g,0.00 g
"Pork, cooked, separable lean and fat, composite of trimmed retail cuts (leg, loin, shoulder, and spareribs), fresh",100 g,238,14g,88mg,57.00 mg,26.36 g,0.00 g,0.0 g,0.00 g
"Beef, raw, all grades, trimmed to 0"" fat, separable lean and fat, medallion, shoulder tender, shoulder clod, chuck",100 g,144,6.2g,57mg,58.00 mg,20.54 g,0.00 g,0.0 g,0.00 g
"Beef, raw, all grades, trimmed to 0"" fat, separable lean and fat, America's Beef Roast, boneless, chuck eye roast",100 g,180,11g,69mg,81.00 mg,19.18 g,0.00 g,0.0 g,0.00 g
"Beef, roasted, cooked, all grades, trimmed to 0"" fat, separable lean and fat, boneless, eye of round roast, round",100 g,167,4.5g,76mg,67.00 mg,29.66 g,0.00 g,0.0 g,0.00 g
"Lamb, slow roasted, cooked, separable lean and fat, shank off, chump off, tunnel-boned leg, imported, New Zealand",100 g,208,13g,79mg,61.00 mg,23.41 g,0.03 g,0.0 g,0.00 g
"Beverages, vitamins B6 and B12, pantothenic acid, niacin, with added caffeine, sugar free, RED BULL, Energy drink",100 g,5,0.1g,0,83.00 mg,0.25 g,0.70 g,0.0 g,0.00 g
"Lamb, raw, trimmed to 1/8"" fat, separable lean and fat, boneless, sirloin chops, leg, fresh, imported, Australian",100 g,208,14g,66mg,59.00 mg,18.33 g,0.00 g,0,0
"Beef, grilled, cooked, all grades, trimmed to 0"" fat, separable lean and fat, inside skirt, boneless, plate steak",100 g,245,14g,92mg,63.00 mg,29.36 g,0.00 g,0.0 g,0.00 g
"Beef, grilled, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, boneless, top sirloin cap steak, loin",100 g,238,14g,83mg,91.00 mg,26.30 g,1.10 g,0.0 g,0.00 g
"Lamb, roasted, cooked, choice, trimmed to 1/4"" fat, separable lean only, whole (shank and sirloin), leg, domestic",100 g,191,7.7g,89mg,68.00 mg,28.30 g,0.00 g,0.0 g,0.00 g
"Beef, grilled, cooked, all grades, trimmed to 0"" fat, separable lean and fat, boneless, eye of round steak, round",100 g,159,4.5g,78mg,68.00 mg,29.66 g,0.00 g,0.0 g,0.00 g
"Fruit salad, solids and liquids, extra heavy syrup, canned, (peach and pear and apricot and pineapple and cherry)",100 g,88,0.1g,0,5.00 mg,0.33 g,22.77 g,1.0 g,0
"Beef, grilled, cooked, select, trimmed to 1/8"" fat, separable lean and fat, boneless, top sirloin cap steak, loin",100 g,249,16g,85mg,78.00 mg,25.50 g,0.40 g,0.0 g,0.00 g
"Beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean and fat, lip off, boneless, top loin steak, loin",100 g,233,13g,88mg,59.00 mg,28.19 g,0.00 g,0.0 g,0.00 g
"Beef, grilled, cooked, select, trimmed to 0"" fat, separable lean and fat, lip off, boneless, top loin steak, loin",100 g,207,9.1g,85mg,57.00 mg,29.16 g,0.00 g,0.0 g,0.00 g
"Beef, raw, all grades, trimmed to 0"" fat, separable lean and fat, boneless, under blade pot roast or steak, chuck",100 g,196,13g,66mg,76.00 mg,19.17 g,0.00 g,0.0 g,0.00 g
"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean only, boneless, chuck eye Country-Style ribs",100 g,228,11g,99mg,69.00 mg,31.41 g,0.00 g,0.0 g,0.00 g
"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean only, boneless, under blade pot roast, chuck",100 g,216,10g,104mg,65.00 mg,30.54 g,0.00 g,0.0 g,0.00 g
"Beef, braised, cooked, select, trimmed to 0"" fat, separable lean and fat, boneless, under blade pot roast, chuck",100 g,288,19g,98mg,64.00 mg,27.17 g,0.00 g,0.0 g,0.00 g
"Beef, braised, cooked, choice, trimmed to 0"" fat, separable lean and fat, boneless, under blade pot roast, chuck",100 g,306,21g,100mg,61.00 mg,26.39 g,0.00 g,0.0 g,0.00 g
"Beef, raw, Aust. marble score 9, separable lean and fat, top loin steak/roast, loin, Wagyu, imported, Australian",100 g,392,37g,68mg,61.00 mg,14.58 g,0.22 g,0.0 g,0.00 g
"Beef, grilled, cooked, all grades, trimmed to 0"" fat, separable lean and fat, boneless, shoulder top blade steak",100 g,210,11g,95mg,85.00 mg,27.59 g,0.00 g,0.0 g,0.00 g
"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean and fat, boneless, mock tender steak, chuck",100 g,220,10g,113mg,67.00 mg,32.07 g,0.00 g,0.0 g,0.00 g
"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean and fat, boneless, under blade steak, chuck",100 g,275,18g,96mg,65.00 mg,28.23 g,0.00 g,0.0 g,0.00 g
"Lamb, raw, trimmed to 1/8"" fat, separable lean only, whole (shank and sirloin), leg, fresh, imported, Australian",100 g,135,5.2g,64mg,81.00 mg,20.46 g,0.00 g,0,0
"Lamb, roasted, cooked, trimmed to 1/8"" fat, separable lean and fat, shank half, leg, fresh, imported, Australian",100 g,231,14g,83mg,67.00 mg,25.25 g,0.00 g,0,0
"Lamb, raw, trimmed to 1/8"" fat, separable lean and fat, boneless, sirloin half, leg, fresh, imported, Australian",100 g,254,20g,66mg,70.00 mg,17.25 g,0.00 g,0,0
"Beef, raw, select, trimmed to 0"" fat, separable lean only, Denver Cut, boneless, under blade center steak, chuck",100 g,157,8.5g,68mg,77.00 mg,19.71 g,0.21 g,0.0 g,0.00 g
"Cereals, without salt, cooked with water (includes boiling and microwaving), unenriched, regular and quick, oats",100 g,71,1.5g,0,4.00 mg,2.54 g,12.00 g,1.7 g,0.27 g
"Lamb, broiled, cooked, trimmed to 1/8"" fat, separable lean and fat, blade, shoulder, fresh, imported, Australian",100 g,291,22g,84mg,88.00 mg,21.71 g,0.00 g,0,0
"Beef, raw, choice, trimmed to 0"" fat, separable lean only, Denver Cut, boneless, under blade center steak, chuck",100 g,178,11g,70mg,76.00 mg,19.23 g,0.67 g,0.0 g,0.00 g
"Beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean and fat, steak, top blade, shoulder clod, chuck",100 g,228,14g,83mg,78.00 mg,24.70 g,0.00 g,0.0 g,0.00 g
"Beef, grilled, cooked, select, trimmed to 0"" fat, separable lean and fat, steak, top blade, shoulder clod, chuck",100 g,212,12g,83mg,76.00 mg,25.29 g,0.00 g,0.0 g,0.00 g
"Beef, braised, cooked, choice, trimmed to 0"" fat, separable lean and fat, boneless, chuck eye Country-Style ribs",100 g,303,22g,96mg,65.00 mg,27.16 g,0.00 g,0.0 g,0.00 g
"Beef, braised, cooked, select, trimmed to 0"" fat, separable lean and fat, boneless, chuck eye Country-Style ribs",100 g,285,19g,95mg,66.00 mg,28.47 g,0.00 g,0.0 g,0.00 g
"Beef, raw, separable lean only, boneless, top round cap-off steak/roast, round, grass-fed, imported, Australian",100 g,129,4.4g,48mg,60.00 mg,22.41 g,0.00 g,0.0 g,0.00 g
"Lamb, raw, trimmed to 1/8"" fat, separable lean and fat, bone-in, center slice, leg, fresh, imported, Australian",100 g,195,13g,65mg,61.00 mg,19.17 g,0.00 g,0,0
"Infant formula, with ARA and DHA, not reconstituted, powder, with iron, NUTRAMIGEN LIPIL, ENFAMIL, MEAD JOHNSON",100 g,494,26g,0,230.00 mg,13.90 g,51.00 g,0.0 g,51.00 g
"Beef, roasted, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, lip-on, boneless, rib eye roast",100 g,292,22g,81mg,52.00 mg,24.30 g,0.00 g,0.0 g,0.00 g
"Beef, roasted, cooked, choice, trimmed to 0"" fat, separable lean only, boneless, top sirloin petite roast, loin",100 g,173,6.4g,88mg,57.00 mg,28.97 g,0.00 g,0.0 g,0.00 g
"Beef, grilled, cooked, select, trimmed to 1/8"" fat, separable lean only, lip-on, boneless, top loin steak, loin",100 g,184,7.3g,80mg,51.00 mg,29.67 g,0.00 g,0.0 g,0.00 g
"Beef, grilled, cooked, choice, trimmed to 1/8"" fat, separable lean only, lip-on, boneless, top loin steak, loin",100 g,208,10g,80mg,56.00 mg,28.66 g,0.00 g,0.0 g,0.00 g
"Beef, grilled, cooked, all grades, trimmed to 0"" fat, separable lean and fat, steak, tip center, knuckle, round",100 g,177,6.8g,77mg,52.00 mg,27.12 g,0.00 g,0.0 g,0.00 g
"Beef, grilled, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, lip-on, boneless, rib eye steak",100 g,291,22g,80mg,54.00 mg,23.69 g,0.00 g,0.0 g,0.00 g
"Pork, pan-broiled, cooked, with added solution, separable lean and fat, boneless, top loin (chops), loin, fresh",100 g,190,7.7g,75mg,205.00 mg,28.35 g,0.00 g,0.0 g,0.00 g
"Beef, grilled, cooked, all grades, trimmed to 0"" fat, separable lean only, outside skirt, boneless, plate steak",100 g,282,19g,102mg,71.00 mg,27.68 g,0.00 g,0.0 g,0.00 g
"Infant formula, with ARA and DHA, ready-to-feed, with iron, ADVANCE 24, SPECIAL CARE, SIMILAC, ABBOTT NUTRITION",100 g,71,3.3g,2mg,34.00 mg,1.80 g,8.73 g,0.0 g,8.30 g
"Infant formula, with ARA and DHA, not reconstituted, liquid concentrate, LIPIL, PROSOBEE, ENFAMIL, MEAD JOHNSON",100 g,131,7.1g,0,45.00 mg,3.19 g,13.58 g,0.0 g,13.58 g
"Beef, roasted, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, boneless, top loin petite roast",100 g,228,13g,82mg,93.00 mg,27.00 g,1.00 g,0.0 g,0.00 g
"Pork, raw, separable lean and fat, composite of trimmed retail cuts (leg, loin, shoulder, and spareribs), fresh",100 g,216,15g,67mg,55.00 mg,18.95 g,0.00 g,0.0 g,0
"Cherries, solids and liquids (includes USDA commodity red tart cherries, canned), water pack, canned, red, sour",100 g,36,0.1g,0,7.00 mg,0.77 g,8.94 g,1.1 g,7.60 g
"Beef, roasted, cooked, select, trimmed to 0"" fat, separable lean only, boneless, top sirloin petite roast, loin",100 g,165,5.3g,84mg,58.00 mg,29.35 g,0.00 g,0.0 g,0.00 g
"Beef, grilled, cooked, all grades, trimmed to 0"" fat, separable lean and fat, boneless, tenderloin steak, loin",100 g,211,8.9g,93mg,57.00 mg,30.50 g,0.00 g,0.0 g,0.00 g
"Lamb, raw, trimmed to 1/8"" fat, separable lean only, boneless, sirloin chops, leg, fresh, imported, Australian",100 g,132,4.9g,64mg,64.00 mg,20.43 g,0.00 g,0,0
"Margarine-like, with added vitamin D, with salt, unspecified oils, approximately 37% fat, vegetable oil spread",100 g,339,38g,0,589.00 mg,0.51 g,0.66 g,0.0 g,0.00 g
"Beef, roasted, cooked, all grades, trimmed to 0"" fat, separable lean only, boneless, eye of round roast, round",100 g,163,3.9g,76mg,67.00 mg,29.85 g,0.00 g,0.0 g,0.00 g
"Beef, grilled, cooked, all grades, trimmed to 1/8"" fat, separable lean only, bone-in, t-bone steak, short loin",100 g,212,10g,82mg,67.00 mg,27.86 g,0.00 g,0.0 g,0.00 g
"Beef, grilled, cooked, select, trimmed to 0"" fat, separable lean only, lip off, boneless, top loin steak, loin",100 g,189,6.7g,86mg,58.00 mg,29.99 g,0.00 g,0.0 g,0.00 g
"Beef, roasted, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, lip-on, bone-in, rib eye roast",100 g,300,23g,82mg,63.00 mg,23.47 g,0.00 g,0.0 g,0.00 g
"Beef, grilled, cooked, all grades, trimmed to 0"" fat, separable lean and fat, boneless, top round steak, round",100 g,167,4.3g,86mg,75.00 mg,29.96 g,0.00 g,0.0 g,0.00 g
"Pork, braised, with added solution cooked, separable lean only, blade (steaks), (Boston butt), shoulder, fresh",100 g,227,12g,98mg,154.00 mg,27.58 g,0.00 g,0.0 g,0.00 g
